id,name,description,icon,metaTitle,metaDesc,createdAt,updatedAt,categoryId
access-control-suppliers,Access Control,"Access control is an electronic system that provides restriction of entry while authorizing only specific people to enter into a certain area. It is mainly keyless and utilize  biometrics, cards, barcodes, etc...",1624384642990.svg,"Access Control System Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum gives information about access control equipment suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore access control supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:57:22.000000,elv-electronics-suppliers
aggregate-suppliers,Aggregate,"Aggregate is made up of particulate material that is used in construction, such as sand, gravel, crushed stone, slag, recycled concrete and others.",1624384679830.svg,"Construction Aggregate Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Locate finest construction aggregate suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman via Lumsum. Search & Explore aggregate supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:58:05.000000,road-works-material-suppliers
ahu-suppliers,AHU,"AHU or air handling unit, is a part of air-conditioning, ventilating or heating system and is used for air regulation and circulation.",1624384725231.svg,"AHU Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore Lumsum to obtain information about eminent AHU suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Find air handling unit supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:58:45.000000,hvac-suppliers
air-conditioner-suppliers,AC,"Air conditioning, often named AC, is the process of regulating air temperature and removing heat and moisture, and is usually used in residential and commercial areas.",1624384748172.svg,"Air Conditioner, AC Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide detailed info about AC suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore AC supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:59:08.000000,hvac-suppliers
air-filter-suppliers,Air Filters,"An air filter is a device made up of fibrous or porous substance and is used to improve the quality of air by removing solid particles such as dust, mold, pollen, etc...",1624384779751.svg,"Air Filter Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide complete info about air filter suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore air filter supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:59:39.000000,hvac-suppliers
aluminum-pvc-doors-windows-cabinets-suppliers,Aluminium & PVC,"Aluminum and PVC doors and windows are very durable and resistant to rot, meaning that they have a long lifespan and require very little maintenance.",1624384821693.svg,"Aluminium & PVC Doors, Windows & Cabinets Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Attain info about optimum aluminium & PVC doors, windows & cabinets suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore aluminium & PVC doors, windows & cabinets supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:00:21.000000,doors-windows-cabinets-suppliers
asphalt-bitumen-suppliers,Asphalt,"Asphalt is a blend of aggregates, binder and filler, used for constructing and maintaining roads, railway tracks, airport lanes, sidewalks and others.",1624384862738.svg,"Cold & Hot Mix Asphalt & Bitumen Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Discover extensive list of popular cold & hot mix asphalt & bitumen suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore asphalt & bitumen supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:01:02.000000,road-works-material-suppliers
audio-visual-equipment-suppliers,Audio visual,"Audiovisual devices are electronics that are used to present audiovisual media such as TV, projectors, videotapes, DVDs, CDs, etc…",1624384902551.svg,"Audio Visual Equipment Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Visit Lumsum to obtain information about audio visual solutions suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore AV equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:01:42.000000,elv-electronics-suppliers
block-brick-suppliers,Blocks & Bricks,"Bricks and blocks are constituents of strong masonry construction that come in evenly shaped individual units. 
",1624384937709.svg,"Concrete Block & Brick Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore top concrete block & brick suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse complete list of block & brick supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:02:17.000000,building-material-suppliers
cable-management-suppliers,Cable Management,"Cable management is the organization of the electrical cables in a certain compartment to contain them and make any repair or changes to the cable system easier and more practical.
",1624384984080.svg,"Cable Management Systems Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Find leading cable management systems suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse entire list of cable management solutions companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:03:04.000000,electrical-suppliers
